,C10,SVEC,RAW
181,0.26313758,0.4138436,0.32301885
182,0.38000917,0.34549937,0.27449152
183,0.288875,0.27374887,0.4373761
184,0.22900486,0.35832006,0.41267508
185,0.47502548,0.25935814,0.2656164
186,0.4136499,0.3815713,0.20477886
187,0.32409206,0.27101856,0.4048894
188,0.26150274,0.37215126,0.36634594
189,0.22793001,0.35507894,0.41699106
190,0.39501166,0.2984578,0.30653054
191,0.38199365,0.18098748,0.43701893
192,0.34636313,0.46465448,0.18898246
193,0.4237187,0.4051602,0.17112115
194,0.2222574,0.14089686,0.63684577
195,0.3349844,0.1573818,0.5076338
196,0.29077128,0.20838363,0.5008451
197,0.27633408,0.31925035,0.40441558
198,0.3723611,0.3124843,0.3151546
199,0.3297795,0.21843135,0.45178917
200,0.3975247,0.4762237,0.1262516
201,0.28324452,0.2913776,0.42537788
202,0.35764536,0.4905233,0.15183131
203,0.43375364,0.2539048,0.31234157
204,0.34465623,0.2368015,0.4185423
205,0.39521518,0.37941992,0.22536486
206,0.30581033,0.34201133,0.35217834
207,0.39697158,0.2708777,0.3321507
208,0.44408414,0.23248321,0.32343262
209,0.45235032,0.37102428,0.17662536
210,0.4155816,0.33880273,0.24561563
211,0.4528401,0.38100985,0.16615002
212,0.33678484,0.35942197,0.30379316
213,0.271331,0.46012112,0.26854786
214,0.38868678,0.31652614,0.2947871
215,0.2806778,0.2913234,0.42799884
216,0.37188584,0.37152937,0.2565848
217,0.45746017,0.4106033,0.13193652
218,0.331909,0.22234955,0.44574144
219,0.3659697,0.37140262,0.2626277
220,0.42168957,0.18740532,0.39090517
221,0.23070014,0.31379607,0.45550385
222,0.36050504,0.30284563,0.3366493
223,0.38809276,0.36337715,0.24853013
224,0.34020782,0.22236317,0.43742904
225,0.34658203,0.3130358,0.3403822
226,0.3263795,0.28750214,0.38611832
227,0.32721815,0.3367966,0.33598524
228,0.31862965,0.3910021,0.29036823
229,0.18610787,0.43993998,0.3739522
230,0.252784,0.4797306,0.26748538
231,0.42071813,0.25413632,0.32514554
232,0.38803855,0.27694842,0.335013
233,0.41431153,0.31918913,0.2664993
234,0.32281595,0.24501853,0.43216553
235,0.30694026,0.31461284,0.37844694
236,0.48014674,0.29517528,0.22467794
237,0.3739871,0.49588084,0.13013199
238,0.31923604,0.31413144,0.36663252
239,0.41938314,0.35072055,0.22989626
240,0.27704263,0.1766266,0.54633075
241,0.34850144,0.40174124,0.24975729
242,0.2658304,0.2361435,0.49802613
243,0.331008,0.25923955,0.40975246
244,0.3530854,0.34358,0.30333462
245,0.35303813,0.22900523,0.4179566
246,0.26243085,0.21676713,0.5208021
247,0.2739835,0.28224668,0.4437698
248,0.35555506,0.44787857,0.19656631
249,0.2602888,0.3075023,0.43220884
250,0.42368376,0.20559998,0.37071624
251,0.34776378,0.37384734,0.2783889
252,0.37440053,0.47866058,0.14693892
253,0.32006398,0.38049722,0.29943883
254,0.25494927,0.41926935,0.3257814
255,0.3848823,0.3222226,0.29289508
256,0.21652393,0.44633958,0.33713645
257,0.3911807,0.28257042,0.32624885
258,0.28520802,0.3354119,0.37938008
259,0.3662763,0.39375,0.2399737
260,0.34772575,0.3639362,0.28833807
261,0.33703047,0.1652352,0.4977343
262,0.14909287,0.38406366,0.4668434
263,0.3686653,0.20892154,0.42241314
264,0.2552214,0.48947632,0.25530222
265,0.35310268,0.22782484,0.41907248
266,0.39713636,0.44272846,0.16013521
267,0.38309255,0.2972043,0.3197032
268,0.4389174,0.24446459,0.316618
269,0.16743469,0.26535848,0.56720686
270,0.24472435,0.37067333,0.38460228
271,0.33192223,0.2631378,0.40494004
272,0.32648316,0.3483472,0.32516965
273,0.28789848,0.43015698,0.28194454
274,0.30945837,0.3889758,0.3015658
275,0.43400764,0.3488304,0.2171619
276,0.42560387,0.41655883,0.15783735
277,0.31361136,0.50416106,0.18222757
278,0.29206884,0.28670445,0.42122668
279,0.29442358,0.4654399,0.24013653
280,0.24539912,0.2566424,0.4979585
281,0.3931152,0.39251372,0.21437106
282,0.15254979,0.40866587,0.43878433
283,0.33592483,0.3044736,0.35960162
284,0.27978376,0.5473604,0.17285585
285,0.3707396,0.19517556,0.4340848
286,0.30893677,0.21350664,0.4775566
287,0.2923175,0.4193122,0.28837028
288,0.24002232,0.30084148,0.45913613
289,0.26486376,0.41423374,0.32090247
290,0.2808354,0.42238715,0.2967775
291,0.31590337,0.33530912,0.3487875
292,0.30232248,0.3415455,0.35613206
293,0.3106652,0.33705217,0.35228267
294,0.29167074,0.33083758,0.37749168
295,0.3242641,0.37005752,0.3056784
296,0.20482199,0.37197107,0.42320698
297,0.27980536,0.33975345,0.38044125
298,0.49557805,0.27241436,0.2320076
299,0.21864267,0.30394813,0.47740915
300,0.3192776,0.3737417,0.3069807
301,0.43139598,0.29465356,0.2739504
302,0.3391991,0.33417192,0.32662898
303,0.33624098,0.37117136,0.29258764
304,0.43833378,0.4439717,0.11769454
305,0.24383849,0.18226252,0.573899
306,0.40363964,0.39037836,0.20598197
307,0.48602164,0.27202895,0.24194936
308,0.39317596,0.25741813,0.34940594
309,0.40871847,0.27405322,0.3172283
310,0.38717043,0.41838402,0.19444557
311,0.2641633,0.3223252,0.41351157
312,0.20745054,0.3665255,0.42602396
313,0.3922154,0.15622525,0.4515593
314,0.38246956,0.18857937,0.42895108
315,0.3495343,0.24037986,0.41008586
316,0.29165956,0.25717244,0.45116794
317,0.33871722,0.2382039,0.42307886
318,0.47938058,0.28826708,0.23235232
319,0.3290433,0.44044605,0.23051062
320,0.29265496,0.24710599,0.46023905
321,0.42371932,0.24543726,0.33084345
322,0.40676144,0.38339752,0.20984106
323,0.2639103,0.54086393,0.19522573
324,0.35363752,0.24577685,0.40058565
325,0.17924808,0.3835176,0.4372343
326,0.25797224,0.20599174,0.53603595
327,0.3668141,0.33624813,0.29693776
328,0.31907323,0.33694777,0.343979
329,0.17257594,0.38467863,0.44274542
330,0.25880104,0.4998723,0.24132666
331,0.30681488,0.3594532,0.33373195
332,0.29014897,0.27879304,0.43105802
333,0.34673682,0.26450384,0.38875934
334,0.28281844,0.42432994,0.29285166
335,0.39517954,0.3193655,0.28545496
336,0.32337928,0.26114282,0.41547787
337,0.38320574,0.35254338,0.26425084
338,0.38764614,0.3729078,0.23944607
339,0.18337402,0.31907412,0.49755186
340,0.28067455,0.32838702,0.3909385
341,0.33144313,0.22588143,0.44267538
